,Dm-L1,Dm-L2,Dm-L3,Dm-WL,Dm-PP1,Dm-PP2,Dm-PP3,Dm-P1,Dm-P2,Dm-P3,Ha-L1,Ha-L2,Ha-L3,Ha-L4,Ha-PP1,Ha-PP2,Ha-PP3,Ha-PP4,Ha-PP5,Ha-P1,Ha-P2,Ha-P3,Ha-P4,Px-L1,Px-L2,Px-L3,Px-L4,Px-PP1,Px-PP2,Px-PP3,Px-PP4,Px-P1,Px-P2,Px-P3,Lm-N1,Lm-N2,Lm-N3,Lm-N4,Lm-N5d1,Lm-N5d3,Lm-N5d5
OG0006262,30.76178016,11.04267272,10.86332098,26.64705844,58.6004255,56.89509052,106.2698784,65.20861121,33.29549046,26.37896362,13.26536763,7.842548282,5.537819205,9.088584301,28.08013952,17.39703487,28.38708758,11.89490866,24.93188543,52.52882129,29.34361807,55.33132416,23.13259437,1.475752634,0.67915423,0.524847771,0.601374117,13.74633727,13.07566846,22.13157713,17.60558484,26.23713209,18.38910028,9.84525355,9.15195714,8.335577356,5.971429002,8.550230208,8.381393691,6.860305321,6.725000944
OG0006263,63.78104636,72.92438676,54.57891149,52.83525809,69.16600767,50.45328553,70.429158,61.40799632,39.91693909,37.34709058,131.734915,96.02576096,90.17661025,94.95914051,124.9405977,159.741228,119.7949093,105.566497,109.1587778,74.72424293,116.8310678,107.7270309,97.69646486,32.72014972,17.94833945,16.77624147,20.82020794,66.66603972,60.63623992,59.23340791,39.45954278,48.53490562,31.11316942,44.67786524,87.98805051,81.60357115,96.66388111,79.85564015,120.817424,128.1963921,119.7661646
OG0006264,1.377558964,1.475029647,2.095628405,5.37824207,7.62492421,9.971676365,15.17307397,16.30496815,9.62596543,7.917350314,36.96523493,38.14698453,28.24118488,37.74692083,37.60133127,29.45584431,22.96395237,26.53616069,17.03712827,49.59330356,46.44617967,43.05373745,30.73268039,28.08905842,18.25792117,15.17232827,12.51277949,28.60673572,28.37063687,27.93316268,18.84860643,29.6076094,14.26197513,23.35391458,56.67344658,58.88376251,55.27869326,66.69109589,80.07070667,81.71720256,82.5017247
OG0006265,21.65369893,18.15177627,13.44293723,29.67500127,59.98230814,39.67149061,48.9431911,44.42229187,29.39644622,61.79254274,53.27625463,44.14845523,50.00177911,23.94072393,62.25918081,23.79460215,42.94540715,12.33224161,50.19964405,41.60424937,34.09847513,71.26236131,57.35848745,3.771304116,2.270248914,2.595109976,1.423967913,11.78056844,12.30069253,14.8756381,6.002122386,16.91652926,13.53998342,12.86427419,21.16864644,17.69100919,15.12189663,15.17463239,22.77435081,19.92412732,18.49009501
OG0006266,294.2892979,448.3187523,334.4116034,354.4250158,641.9375408,426.5655897,533.205748,424.5062048,222.1534523,155.5627305,440.714963,551.9919583,706.0625869,439.4046275,678.2749473,514.6401664,357.6831778,275.4667014,260.0970229,356.4579915,475.3629025,464.6317942,229.4825675,1086.2992,800.6023135,727.5970874,795.247801,1093.966726,1142.612348,1041.974899,861.5237589,874.2269114,564.5153046,512.5409144,593.6136823,691.6815214,578.799428,626.6095025,812.1961783,947.2975115,806.3095704
OG0006267,14.3964685,20.07549233,14.55857432,18.22493925,27.69593209,20.81745702,31.44040335,25.16659962,12.72729244,13.56227693,12.95337215,14.75643658,12.20893071,11.75838547,14.37486768,11.63933729,14.4968775,8.418908928,10.65114135,8.889010008,9.261149258,8.405784876,8.073517143,33.21797135,34.63626964,31.81592102,41.68418587,35.64739869,36.6743214,33.4403487,25.70519418,36.72118154,38.46017556,44.33027628,10.05755915,12.63862366,8.672420854,9.741089553,17.11196958,16.43699767,21.49715718
OG0006268,18.14337148,19.00848433,15.51228975,22.53330806,28.00468826,36.12958742,44.0877175,24.60627445,11.91514269,14.23270526,22.02996742,23.05547106,21.02836831,16.1290445,26.71838632,15.00026224,14.35547645,15.80658558,14.11596727,18.15814903,23.26799554,18.361885,15.03703374,5.452595914,4.66606601,4.529196658,3.021990222,6.627883685,5.433071187,4.564696041,3.565980409,7.335495684,4.567107596,6.994437221,18.21800709,18.72049023,17.09836647,23.70476117,30.45883645,28.7883961,28.36854507
OG0006269,2247.511701,2291.814784,2078.057099,1298.745413,1789.263025,1726.5466,1808.361495,1722.155041,1140.194563,669.6144961,3501.54801,3453.696009,3144.394389,2071.416144,3291.354975,1769.707608,2374.394735,1034.168592,1669.445072,1092.211161,1778.028565,2114.71666,1289.985508,4009.034806,5381.634632,5126.724118,4251.823584,4622.172062,4625.808062,4163.520492,3592.91221,2892.602516,2117.293698,1971.913113,1613.914184,1809.365058,1567.19657,1630.376501,2369.658146,2499.527982,2481.822891
OG0006270,48.19893492,60.25099829,53.55065172,59.75851071,103.9865731,96.38224675,120.03495,112.4515844,65.90439838,25.65952189,48.33684203,55.18185697,56.34230225,31.33462247,41.69942558,22.24162572,26.18831372,15.9519192,27.51081877,38.10694596,39.42233341,51.06106686,31.53269913,176.2349481,162.0851612,182.6426611,91.02647936,199.9294503,192.6849194,179.7859638,151.8198904,190.1289255,170.06781,203.9119607,96.07931087,109.235486,107.4997923,124.8498785,173.4285537,169.4819803,161.7437195
OG0006271,2.831987083,3.08488238,2.814404196,5.51671611,17.95355408,16.33204512,14.70242589,13.15940533,6.687237625,1.772597903,33.33864497,24.89264015,20.69918278,30.13035398,39.08109618,24.4283057,36.65577525,25.09967272,33.13255724,54.97588599,43.56124405,57.13508279,37.48983599,3.70570494,2.176036209,2.318303213,2.593069235,8.470122519,8.563463004,6.323330866,3.977468773,8.279263799,6.520420366,5.334493185,17.10224264,15.48428952,15.84850413,14.09488475,24.06522097,22.82361998,21.40970927
